date,extent,area,data-type,region
1994-6,12.02,9.68,Goddard,N
1995-6,11.44,8.94,Goddard,N
1996-6,12.08,9.83,Goddard,N
1997-6,11.74,9.20,Goddard,N
1998-6,11.71,9.18,Goddard,N
1999-6,11.78,9.25,Goddard,N
2000-6,11.67,9.05,Goddard,N
2001-6,11.46,9.09,Goddard,N
2002-6,11.58,9.19,Goddard,N
2003-6,11.60,9.11,Goddard,N
2004-6,11.45,9.24,Goddard,N
2005-6,11.16,8.81,Goddard,N
2006-6,10.92,8.41,Goddard,N
2007-6,11.22,8.21,Goddard,N
2008-6,11.21,8.85,Goddard,N
2009-6,11.32,9.25,Goddard,N
2010-6,10.59,8.37,Goddard,N
2011-6,10.75,8.54,Goddard,N
2012-6,10.67,8.16,Goddard,N
2013-6,11.36,8.95,Goddard,N
2014-6,11.03,8.76,Goddard,N
2015-6,10.88,8.70,Goddard,N
2016-6,10.41,8.21,Goddard,N
2017-6,10.76,8.63,Goddard,N
2018-6,10.78,8.79,Goddard,N
2019-6,10.59,8.32,Goddard,N
2020-6,10.59,8.41,Goddard,N
2021-6,10.77,8.39,Goddard,N
2022-6,10.86,8.60,NRTSI-G,N
1979-7,10.31,6.69,Goddard,N
1980-7,10.10,6.53,Goddard,N
1981-7,10.27,6.31,Goddard,N
1982-7,10.37,6.87,Goddard,N
1983-7,10.57,6.86,Goddard,N
1984-7,9.98,6.30,Goddard,N
1985-7,9.74,5.99,Goddard,N
1986-7,10.15,6.62,Goddard,N
1987-7,10.33,6.55,Goddard,N
1988-7,9.81,7.01,Goddard,N
1989-7,10.13,7.33,Goddard,N
1990-7,9.25,6.52,Goddard,N
1991-7,9.51,6.76,Goddard,N
1992-7,10.32,7.22,Goddard,N
1993-7,9.48,6.28,Goddard,N
1994-7,9.93,6.92,Goddard,N
1995-7,8.99,6.16,Goddard,N
1996-7,10.16,7.44,Goddard,N
1997-7,9.41,6.50,Goddard,N
1998-7,9.42,6.45,Goddard,N
1999-7,9.49,6.55,Goddard,N
2000-7,9.51,6.39,Goddard,N
2001-7,9.07,6.29,Goddard,N
2002-7,9.27,6.44,Goddard,N
2003-7,9.21,6.15,Goddard,N
2004-7,9.43,6.51,Goddard,N
2005-7,8.65,5.90,Goddard,N
2006-7,8.46,5.79,Goddard,N
2007-7,7.94,5.13,Goddard,N
2008-7,8.68,6.06,Goddard,N
2009-7,8.47,6.12,Goddard,N
2010-7,8.07,5.57,Goddard,N
2011-7,7.72,5.40,Goddard,N
2012-7,7.67,5.09,Goddard,N
2013-7,8.13,5.81,Goddard,N
2014-7,8.11,5.96,Goddard,N
2015-7,8.38,5.66,Goddard,N
2016-7,7.94,5.37,Goddard,N
2017-7,7.94,5.65,Goddard,N
2018-7,8.27,5.76,Goddard,N
2019-7,7.59,5.13,Goddard,N
2020-7,7.29,5.07,Goddard,N
2021-7,7.65,5.53,Goddard,N
2022-7,8.25,5.89,NRTSI-G,N
1979-8,8.04,5.06,Goddard,N
1980-8,7.98,4.94,Goddard,N
1981-8,7.84,4.48,Goddard,N
1982-8,8.14,5.00,Goddard,N
1983-8,8.19,4.97,Goddard,N
1984-8,7.77,4.68,Goddard,N
1985-8,7.40,4.60,Goddard,N
1986-8,7.98,5.01,Goddard,N
1987-8,7.63,-9999,Goddard,N
1988-8,7.89,5.42,Goddard,N
1989-8,7.88,5.56,Goddard,N
1990-8,6.80,4.99,Goddard,N
1991-8,7.42,5.21,Goddard,N
1992-8,7.93,5.44,Goddard,N
1993-8,7.33,4.76,Goddard,N
1994-8,7.64,5.19,Goddard,N
1995-8,6.74,4.69,Goddard,N
1996-8,8.18,5.73,Goddard,N
1997-8,7.29,5.09,Goddard,N
1998-8,7.51,4.69,Goddard,N
1999-8,7.23,4.75,Goddard,N
2000-8,7.17,4.78,Goddard,N
2001-8,7.46,4.94,Goddard,N
2002-8,6.60,4.32,Goddard,N
2003-8,6.94,4.52,Goddard,N
2004-8,6.85,4.67,Goddard,N
2005-8,6.30,4.21,Goddard,N
2006-8,6.50,4.31,Goddard,N
2007-8,5.34,3.19,Goddard,N
2008-8,5.91,3.79,Goddard,N
2009-8,6.14,4.16,Goddard,N
2010-8,5.87,3.88,Goddard,N
2011-8,5.50,3.38,Goddard,N
2012-8,4.72,2.93,Goddard,N
2013-8,6.01,4.17,Goddard,N
2014-8,6.08,4.37,Goddard,N
2015-8,5.60,3.63,Goddard,N
2016-8,5.37,3.31,Goddard,N
2017-8,5.48,3.64,Goddard,N
2018-8,5.61,3.90,Goddard,N
2019-8,5.03,3.24,Goddard,N
2020-8,5.07,3.10,Goddard,N
2021-8,5.71,3.78,Goddard,N
2022-8,5.99,4.02,NRTSI-G,N
1979-9,7.05,4.58,Goddard,N
1980-9,7.67,4.87,Goddard,N
1981-9,7.14,4.44,Goddard,N
1982-9,7.30,4.43,Goddard,N
1983-9,7.39,4.70,Goddard,N
1984-9,6.81,4.11,Goddard,N
1985-9,6.70,4.23,Goddard,N
1986-9,7.41,4.72,Goddard,N
1987-9,7.28,5.64,Goddard,N
1988-9,7.37,5.36,Goddard,N
1989-9,7.01,4.86,Goddard,N
1990-9,6.14,4.55,Goddard,N
1991-9,6.47,4.51,Goddard,N
1992-9,7.47,5.43,Goddard,N
1993-9,6.40,4.58,Goddard,N
1994-9,7.14,5.13,Goddard,N
1995-9,6.08,4.43,Goddard,N
1996-9,7.58,5.62,Goddard,N
1997-9,6.69,4.89,Goddard,N
1998-9,6.54,4.30,Goddard,N
1999-9,6.12,4.29,Goddard,N
2000-9,6.25,4.35,Goddard,N
2001-9,6.73,4.59,Goddard,N
2002-9,5.83,4.03,Goddard,N
2003-9,6.12,4.05,Goddard,N
2004-9,5.98,4.39,Goddard,N
2005-9,5.50,4.07,Goddard,N
2006-9,5.86,4.01,Goddard,N
2007-9,4.27,2.82,Goddard,N
2008-9,4.69,3.26,Goddard,N
2009-9,5.26,3.76,Goddard,N
2010-9,4.87,3.34,Goddard,N
2011-9,4.56,3.21,Goddard,N
2012-9,3.57,2.41,Goddard,N
2013-9,5.21,3.78,Goddard,N
2014-9,5.22,3.74,Goddard,N
2015-9,4.62,3.42,Goddard,N
2016-9,4.53,2.91,Goddard,N
2017-9,4.82,3.35,Goddard,N
2018-9,4.79,3.35,Goddard,N
2019-9,4.36,3.17,Goddard,N
2020-9,4.00,2.83,Goddard,N
2021-9,4.95,3.47,Goddard,N
2022-9,4.87,3.43,NRTSI-G,N
1979-10,8.75,6.19,Goddard,N
1980-10,9.18,6.50,Goddard,N
1981-10,8.86,6.27,Goddard,N
1982-10,9.42,6.67,Goddard,N
1983-10,9.33,6.79,Goddard,N
1984-10,8.56,5.91,Goddard,N
1985-10,8.55,6.12,Goddard,N
1986-10,9.48,6.83,Goddard,N
1987-10,9.05,7.49,Goddard,N
1988-10,9.13,7.52,Goddard,N
1989-10,8.83,6.96,Goddard,N
1990-10,8.48,6.74,Goddard,N
1991-10,8.54,6.75,Goddard,N
1992-10,9.32,7.74,Goddard,N
1993-10,8.79,7.06,Goddard,N
1994-10,8.92,7.23,Goddard,N
1995-10,7.83,5.99,Goddard,N
1996-10,9.16,7.54,Goddard,N
1997-10,8.34,6.47,Goddard,N
1998-10,8.45,6.71,Goddard,N
1999-10,8.60,6.83,Goddard,N
2000-10,8.38,6.69,Goddard,N
2001-10,8.30,6.65,Goddard,N
2002-10,8.16,6.24,Goddard,N
2003-10,7.85,5.98,Goddard,N
2004-10,7.93,6.40,Goddard,N
2005-10,7.35,5.78,Goddard,N
2006-10,7.54,5.80,Goddard,N
2007-10,6.04,4.33,Goddard,N
